8 00:59:36.078795 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Start routing
Aug  8 00:59:37.339294 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Detected Audio: PID=5006 (0x138e) codec=ac3, language=kor
Aug  8 00:59:37.339314 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Start routing
Aug  8 00:59:37.339321 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Input stream 0, type:VIDEO, PID 0x138d
Aug  8 00:59:37.339327 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Input stream 1, type:AUDIO, PID 0x138e
Aug  8 00:59:37.339334 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 00:59:37.339349 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Matched input stream 0, type:VIDEO, PID 0x138d
Aug  8 00:59:37.339357 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 00:59:37.339366 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Matched input stream 1, type:AUDIO, PID 0x138e
Aug  8 00:59:37.339373 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 00:59:37.339382 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Matched input stream 1, type:AUDIO, PID 0x138e
Aug  8 00:59:37.339388 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Finished routing
Aug  8 00:59:37.339402 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing for input PID=5005 (0x138d) on PID=32 (0x20)
Aug  8 00:59:37.339457 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing for input PID=5006 (0x138e) on PID=33 (0x21)
Aug  8 00:59:37.339525 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing for input PID=5006 (0x138e) on PID=34 (0x22)
Aug  8 23:10:09.234726 BS18_TS05_TEST_02  [GENERAL] The process is ending
Aug  8 23:10:24.540421 noServiceName  **********************************************************
Aug  8 23:10:24.540434 noServiceName  [GENERAL] MKEL 14.0 - configVersion 17.13.1 - statsVersion 3.15.3
Aug  8 23:10:24.540439 noServiceName  [GENERAL] Log system is syslog
Aug  8 23:10:24.540600 noServiceName  [GENERAL] The process is starting
Aug  8 23:10:24.972950 BS18_TS05_TEST_02  [GENERAL] Esam Server started with ip=192.168.21.51 - port=9104
Aug  8 23:10:24.973011 BS18_TS05_TEST_02  [GENERAL] Service id=e9c9447699d94ad9a463e0b93d3e8f55 - Server id=standalone
Aug  8 23:10:24.976556 BS18_TS05_TEST_02  [SOURCE 1_0] [INPUT] Select program by PMT (use default program number)
Aug  8 23:10:24.980356 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Select program by PMT (use default program number)
Aug  8 23:10:24.990211 BS18_TS05_TEST_02  [SOURCE 2_0] [INPUT] Select program by PMT (use default program number)
Aug  8 23:10:24.995905 BS18_TS05_TEST_02  [SOURCE 2_1] [INPUT] Select program by PMT (use default program number)
Aug  8 23:10:25.385438 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Start routing
Aug  8 23:10:25.385451 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 23:10:25.385459 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 23:10:25.385465 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 23:10:25.385471 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Finished routing
Aug  8 23:10:25.385513 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] inputStream with same type not found
Aug  8 23:10:25.385531 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] inputStream with same type not found
Aug  8 23:10:25.385635 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Start routing
Aug  8 23:10:25.385643 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 23:10:25.385649 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 23:10:25.385656 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 23:10:25.385662 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Finished routing
Aug  8 23:10:25.385687 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] inputStream with same type not found
Aug  8 23:10:25.385705 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] inputStream with same type not found
Aug  8 23:10:25.385780 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] Start routing
Aug  8 23:10:25.385787 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 23:10:25.385793 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 23:10:25.385799 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 23:10:25.385805 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] Finished routing
Aug  8 23:10:25.385830 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] inputStream with same type not found
Aug  8 23:10:25.385847 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] inputStream with same type not found
Aug  8 23:10:25.385910 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] Start routing
Aug  8 23:10:25.385917 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 23:10:25.385924 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 23:10:25.385930 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 23:10:25.385936 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] Finished routing
Aug  8 23:10:25.385960 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] inputStream with same type not found
Aug  8 23:10:25.385978 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] inputStream with same type not found
Aug  8 23:10:25.387406 BS18_TS05_TEST_02  [CONFIG] Configuration parsed with success
Aug  8 23:10:25.387538 BS18_TS05_TEST_02  [GENERAL] License status=wait for license
Aug  8 23:10:25.389080 BS18_TS05_TEST_02  [GENERAL] Register in serviceDiscovery interface 'esamreceiver' for networkName 'BS18_05'
Aug  8 23:10:25.446143 BS18_TS05_TEST_02  [SOURCE 1_0] [INPUT] Select program by PMT (use default program number)
