TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 04:52:44.241449 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_1 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_1;sdt=CS24_MBCDaegu 
Mar  4 05:00:02.241545 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 05:48:03.539408 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 05:52:01.441734 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 06:00:25.239166 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 06:23:09.639249 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 06:25:13.540703 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 07:23:55.740782 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 07:25:07.641651 CS24_TS17_MBC Deagu minor raised alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
Mar  4 07:25:38.241723 CS24_TS17_MBC Deagu minor cleared alarm.capture.audiosilence liveEncodings/392f304b1c4f4afaaafe617a6bd93368/inputAudio/Audio_2 Input audio silent Input audio silent for service=CS24_TS17_MBC Deagu;inputAudio=Audio_2;sdt=CS24_MBCDaegu 
