-----------Freespace (df -lh)---------------------------
Filesystem                   Size  Used Avail Use% Mounted on
/dev/mapper/vg_main-lv_root   33G  5.4G   26G  18% /
devtmpfs                      94G     0   94G   0% /dev
tmpfs                         94G   52K   94G   1% /dev/shm
tmpfs                         94G     0   94G   0% /sys/fs/cgroup
tmpfs                         94G 1019M   93G   2% /run
/dev/sda1                    488M  314M  139M  70% /boot
/dev/mapper/vg_main-lv_opt    33G  3.1G   28G  10% /opt
/dev/mapper/vg_main-lv_var   110G  1.7G  102G   2% /var

-----------process running (top -n -1 -b)---------------------------
top - 11:37:46 up 17 days,  1:31,  0 users,  load average: 55.55, 48.30, 48.77
Tasks: 923 total,   2 running, 921 sleeping,   0 stopped,   0 zombie
%Cpu(s): 54.2 us,  4.9 sy,  0.1 ni, 40.4 id,  0.0 wa,  0.0 hi,  0.4 si,  0.0 st
KiB Mem : 19651568+total, 15327406+free, 40134556 used,  3107052 buff/cache
KiB Swap:        0 total,        0 free,        0 used. 15460832+avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
    49 root      rt   0       0      0      0 S   0.0  0.0   0:10.54 migration+
    50 root      20   0       0      0      0 S   0.0  0.0   3:01.98 ksoftirqd+
    52 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/8+
    53 root      rt   0       0      0      0 S   0.0  0.0   0:04.56 watchdog/9
    54 root      rt   0       0      0      0 S   0.0  0.0   0:09.66 migration+
    55 root      20   0       0      0      0 S   0.0  0.0   6:37.19 ksoftirqd+
    57 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/9+
    58 root      rt   0       0      0      0 S   0.0  0.0   0:04.38 watchdog/+
    59 root      rt   0       0      0      0 S   0.0  0.0   0:09.77 migration+
    60 root      20   0       0      0      0 S   0.0  0.0   0:12.28 ksoftirqd+
    62 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    63 root      rt   0       0      0      0 S   0.0  0.0   0:04.64 watchdog/+
    64 root      rt   0       0      0      0 S   0.0  0.0   0:09.58 migration+
    65 root      20   0       0      0      0 S   0.0  0.0   1:55.17 ksoftirqd+
    67 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    68 root      rt   0       0      0      0 S   0.0  0.0   0:04.12 watchdog/+
    69 root      rt   0       0      0      0 S   0.0  0.0   0:09.75 migration+
    70 root      20   0       0      0      0 S   0.0  0.0   0:16.53 ksoftirqd+
    72 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    73 root      rt   0       0      0      0 S   0.0  0.0   0:04.25 watchdog/+
    74 root      rt   0       0      0      0 S   0.0  0.0   0:09.93 migration+
    75 root      20   0       0      0      0 S   0.0  0.0   9:07.20 ksoftirqd+
    77 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    78 root      rt   0       0      0      0 S   0.0  0.0   0:03.61 watchdog/+
    79 root      rt   0       0      0      0 S   0.0  0.0   0:09.84 migration+
    80 root      20   0       0      0      0 S   0.0  0.0   0:10.06 ksoftirqd+
    82 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    83 root      rt   0       0      0      0 S   0.0  0.0   0:03.92 watchdog/+
    84 root      rt   0       0      0      0 S   0.0  0.0   0:12.23 migration+
    85 root      20   0       0      0      0 S   0.0  0.0   1:58.77 ksoftirqd+
    87 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    88 root      rt   0       0      0      0 S   0.0  0.0   0:04.05 watchdog/+
    89 root      rt   0       0      0      0 S   0.0  0.0   0:10.76 migration+
    90 root      20   0       0      0      0 S   0.0  0.0   5:38.09 ksoftirqd+
    92 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    93 root      rt   0       0      0      0 S   0.0  0.0   0:03.83 watchdog/+
    94 root      rt   0       0      0      0 S   0.0  0.0   0:14.08 migration+
    95 root      20   0       0      0      0 S   0.0  0.0   1:59.43 ksoftirqd+
    97 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
    98 root      rt   0       0      0      0 S   0.0  0.0   0:04.15 watchdog/+
    99 root      rt   0       0      0      0 S   0.0  0.0   0:11.40 migration+
   100 root      20   0       0      0      0 S   0.0  0.0   0:07.54 ksoftirqd+
   102 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
   103 root      rt   0       0      0      0 S   0.0  0.0   0:04.07 watchdog/+
   104 root      rt   0       0      0      0 S   0.0  0.0   0:10.94 migration+
   105 root      20   0       0      0      0 S   0.0  0.0   0:06.74 ksoftirqd+
   107 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1+
   108 root      rt   0       0      0      0 S   0.0  0.0   0:04.62 watchdog/+
   109 root      rt   0       0      0      0 S   0.0  0.0   0:11.88 migration+
   110 root      20   0       0      0      0 S   0.0  0.0   2:49.95 ksoftirqd+
   112 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2+
   113 root      rt   0       0      0      0 S   0.0  0.0   0:04.31 watchdog/+
   114 root      rt   0       0      0      0 S   0.0  0.0   0:10.87 migration+
   115 root      20   0       0      0      0 S   0.0  0.0   0:05.39 ksoftirqd+
   117 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2+
   118 root      rt   0       0      0      0 S   0.0  0.0   0:04.13 watchdog/+
   119 root      rt   0       0      0      0 S   0.0  0.0   0:10.68 migration+
   120 root      20   0       0      0      0 S   0.0  0.0   0:06.29 ksoftirqd+
   122 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2+
   123 root      rt   0       0      0      0 S   0.0  0.0   0:03.73 watchdog/+
   124 root      rt   0       0      0      0 S   0.0  0.0   0:10.57 migration+
   125 root      20   0       0      0      0 S   0.0  0.0   0:05.63 ksoftirqd+
   127 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2+
   128 root      rt   0       0      0      0 S   0.0  0.0   0:04.71 watchdog/+
   129 root      rt   0       0      0      0 S   0.0  0.0   0:07.97 migration+
   130 root      20   0       0      0      0 S   0.0  0.0   0:03.39 ksoftirqd+
   132 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2+
   134 root      rt   0       0      0      0 S   0.0  0.0   0:04.51 watchdog/+
   135 root      rt   0       0      0      0 S   0.0  0.0   0:08.15 migration+
   136 root      20   0       0      0      0 S   0.0  0.0   0:25.35 ksoftirqd+
   138 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2+
   139 root      rt   0       0      0      0 S   0.0  0.0   0:04.11 watchdog/+
   140 root      rt   0       0      0      0 S   0.0  0.0   0:08.28 migration+
   141 root      20   0       0      0      0 S   0.0  0.0   0:02.94 ksoftirqd+
   143 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2+
   144 root      rt   0       0      0      0 S   0.0  0.0   0:03.80 watchdog/+
   145 root      rt   0       0      0      0 S   0.0  0.0   0:08.40 migration+
   146 root      20   0       0      0      0 S   0.0  0.0   0:03.06 ksoftirqd+
   148 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2+
   149 root      rt   0       0      0      0 S   0.0  0.0   0:03.42 watchdog/+
   150 root      rt   0       0      0      0 S   0.0  0.0   0:08.50 migration+
   151 root      20   0       0      0      0 S   0.0  0.0   0:02.78 ksoftirqd+
   153 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2+
   154 root      rt   0       0      0      0 S   0.0  0.0   0:03.24 watchdog/+
   155 root      rt   0       0      0      0 S   0.0  0.0   0:08.58 migration+
   156 root      20   0       0      0      0 S   0.0  0.0   0:02.67 ksoftirqd+
   158 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2+
   159 root      rt   0       0      0      0 S   0.0  0.0   0:03.67 watchdog/+
   160 root      rt   0       0      0      0 S   0.0  0.0   0:08.63 migration+
   161 root      20   0       0      0      0 S   0.0  0.0   0:02.59 ksoftirqd+
   163 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3+
   164 root      rt   0       0      0      0 S   0.0  0.0   0:04.37 watchdog/+
   165 root      rt   0       0      0      0 S   0.0  0.0   0:08.65 migration+
   166 root      20   0       0      0      0 S   0.0  0.0   0:02.59 ksoftirqd+
   168 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3+
   169 root      rt   0       0      0      0 S   0.0  0.0   0:03.96 watchdog/+
   170 root      rt   0       0      0      0 S   0.0  0.0   0:08.74 migration+
   171 root      20   0       0      0      0 S   0.0  0.0   0:02.63 ksoftirqd+
   173 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3+
   174 root      rt   0       0      0      0 S   0.0  0.0   0:04.30 watchdog/+
   175 root      rt   0       0      0      0 S   0.0  0.0   0:08.89 migration+
   176 root      20   0       0      0      0 S   0.0  0.0   0:02.64 ksoftirqd+
   178 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3+
   179 root      rt   0       0      0      0 S   0.0  0.0   0:04.39 watchdog/+
   180 root      rt   0       0      0      0 S   0.0  0.0   0:08.95 migration+
   181 root      20   0       0      0      0 S   0.0  0.0   0:02.64 ksoftirqd+
   183 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3+
   184 root      rt   0       0      0      0 S   0.0  0.0   0:04.11 watchdog/+
   185 root      rt   0       0      0      0 S   0.0  0.0   0:09.04 migration+
   186 root      20   0       0      0      0 S   0.0  0.0   0:02.65 ksoftirqd+
   188 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3+
   189 root      rt   0       0      0      0 S   0.0  0.0   0:03.82 watchdog/+
   190 root      rt   0       0      0      0 S   0.0  0.0   0:09.08 migration+
   191 root      20   0       0      0      0 S   0.0  0.0   0:02.71 ksoftirqd+
   193 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3+
   194 root      rt   0       0      0      0 S   0.0  0.0   0:03.59 watchdog/+
   195 root      rt   0       0      0      0 S   0.0  0.0   0:09.13 migration+
   196 root      20   0       0      0      0 S   0.0  0.0   0:02.73 ksoftirqd+
   198 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3+
   199 root      rt   0       0      0      0 S   0.0  0.0   0:03.29 watchdog/+
   200 root      rt   0       0      0      0 S   0.0  0.0   0:09.23 migration+
   201 root      20   0       0      0      0 S   0.0  0.0   0:02.59 ksoftirqd+
   203 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3+
   204 root      rt   0       0      0      0 S   0.0  0.0   0:03.33 watchdog/+
   205 root      rt   0       0      0      0 S   0.0  0.0   0:09.33 migration+
   206 root      20   0       0      0      0 S   0.0  0.0   0:02.54 ksoftirqd+
   208 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3+
   209 root      rt   0       0      0      0 S   0.0  0.0   0:03.56 watchdog/+
   210 root      rt   0       0      0      0 S   0.0  0.0   0:09.48 migration+
   211 root      20   0       0      0      0 S   0.0  0.0   0:02.56 ksoftirqd+
   213 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/4+
