-----------Current process (ps aux)---------------------------
USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.0 194056  7192 ?        Ss   Feb27   2:50 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root         98  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/18]
root         99  0.0  0.0      0     0 ?        S    Feb27   0:11 [migration/18]
root        100  0.0  0.0      0     0 ?        S    Feb27   0:07 [ksoftirqd/18]
root        102  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/18:0H]
root        103  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/19]
root        104  0.0  0.0      0     0 ?        S    Feb27   0:10 [migration/19]
root        105  0.0  0.0      0     0 ?        S    Feb27   0:06 [ksoftirqd/19]
root        107  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/19:0H]
root        108  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/20]
root        109  0.0  0.0      0     0 ?        S    Feb27   0:11 [migration/20]
root        110  0.0  0.0      0     0 ?        S    Feb27   2:49 [ksoftirqd/20]
root        112  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/20:0H]
root        113  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/21]
root        114  0.0  0.0      0     0 ?        S    Feb27   0:10 [migration/21]
root        115  0.0  0.0      0     0 ?        S    Feb27   0:05 [ksoftirqd/21]
root        117  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/21:0H]
root        118  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/22]
root        119  0.0  0.0      0     0 ?        S    Feb27   0:10 [migration/22]
root        120  0.0  0.0      0     0 ?        S    Feb27   0:06 [ksoftirqd/22]
root        122  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/22:0H]
root        123  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/23]
root        124  0.0  0.0      0     0 ?        S    Feb27   0:10 [migration/23]
root        125  0.0  0.0      0     0 ?        S    Feb27   0:05 [ksoftirqd/23]
root        127  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/23:0H]
root        128  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/24]
root        129  0.0  0.0      0     0 ?        S    Feb27   0:07 [migration/24]
root        130  0.0  0.0      0     0 ?        S    Feb27   0:03 [ksoftirqd/24]
root        132  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/24:0H]
root        134  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/25]
root        135  0.0  0.0      0     0 ?        S    Feb27   0:08 [migration/25]
root        136  0.0  0.0      0     0 ?        S    Feb27   0:25 [ksoftirqd/25]
root        138  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/25:0H]
root        139  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/26]
root        140  0.0  0.0      0     0 ?        S    Feb27   0:08 [migration/26]
root        141  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/26]
root        143  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/26:0H]
root        144  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/27]
root        145  0.0  0.0      0     0 ?        S    Feb27   0:08 [migration/27]
root        146  0.0  0.0      0     0 ?        S    Feb27   0:03 [ksoftirqd/27]
root        148  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/27:0H]
root        149  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/28]
root        150  0.0  0.0      0     0 ?        S    Feb27   0:08 [migration/28]
root        151  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/28]
root        153  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/28:0H]
root        154  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/29]
root        155  0.0  0.0      0     0 ?        S    Feb27   0:08 [migration/29]
root        156  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/29]
root        158  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/29:0H]
root        159  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/30]
root        160  0.0  0.0      0     0 ?        S    Feb27   0:08 [migration/30]
root        161  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/30]
root        163  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/30:0H]
root        164  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/31]
